"node i","node j","query","t0","t1","t2"
"ua0","oa0","SELECT * FROM ""oa0"" ORDER BY desc LIMIT 100","323690606692","323691004460","323691181953"
"ua0","oa1","SELECT * FROM ""oa1"" ORDER BY desc LIMIT 100","323691191245","323691458514","323691552777"
"ua0","oa2","SELECT * FROM ""oa2"" ORDER BY desc LIMIT 100","323691557973","323691796975","323691836300"
"ua0","oa3","SELECT * FROM ""oa3"" ORDER BY desc LIMIT 100","323691838785","323692152053","323692189481"
"ua0","oa4","SELECT * FROM ""oa4"" ORDER BY desc LIMIT 100","323692192043","323692426371","323692460495"
"ua0","oa5","SELECT * FROM ""oa5"" ORDER BY desc LIMIT 100","323692462792","323692731423","323692765698"
"ua0","oa6","SELECT * FROM ""oa6"" ORDER BY desc LIMIT 100","323692767947","323693129811","323693183177"
"ua0","oa7","SELECT * FROM ""oa7"" ORDER BY desc LIMIT 100","323693187311","323693428421","323693466137"
"ua0","oa8","SELECT * FROM ""oa8"" ORDER BY desc LIMIT 100","323693468955","323693703276","323693738865"
"ua0","oa9","SELECT * FROM ""oa9"" ORDER BY desc LIMIT 100","323693741454","323693977824","323694012752"
"ua1","oa1","SELECT * FROM ""oa1"" ORDER BY desc LIMIT 100","323694015311","323694249306","323694283547"
"ua1","oa2","SELECT * FROM ""oa2"" ORDER BY desc LIMIT 100","323694286007","323694521827","323694555516"
"ua1","oa3","SELECT * FROM ""oa3"" ORDER BY desc LIMIT 100","323694557826","323694790331","323694827917"
"ua1","oa4","SELECT * FROM ""oa4"" ORDER BY desc LIMIT 100","323694830194","323695062958","323695096307"
"ua1","oa5","SELECT * FROM ""oa5"" ORDER BY desc LIMIT 100","323695098563","323695333719","323695367746"
"ua1","oa6","SELECT * FROM ""oa6"" ORDER BY desc LIMIT 100","323695370085","323695603197","323695636334"
"ua1","oa7","SELECT * FROM ""oa7"" ORDER BY desc LIMIT 100","323695638554","323695872985","323695906475"
"ua1","oa8","SELECT * FROM ""oa8"" ORDER BY desc LIMIT 100","323695908625","323696184433","323696218642"
"ua1","oa9","SELECT * FROM ""oa9"" ORDER BY desc LIMIT 100","323696220921","323696455968","323696489229"
"ua1","oa10","SELECT * FROM ""oa10"" ORDER BY desc LIMIT 100","323696491526","323696724601","323696758527"
"ua2","oa2","SELECT * FROM ""oa2"" ORDER BY desc LIMIT 100","323696761056","323696997559","323697030809"
"ua2","oa3","SELECT * FROM ""oa3"" ORDER BY desc LIMIT 100","323697033026","323697266396","323697299644"
