"node i","node j","query","t0","t1","t2"
"ua0","oa0","SELECT * FROM ""oa0"" WHERE  data > 472 ORDER BY desc LIMIT 100","570054090582","570054446318","570054763853"
"ua0","oa1","SELECT * FROM ""oa1"" WHERE  data > 192 ORDER BY desc LIMIT 100","570054767498","570055006574","570055284406"
"ua0","oa2","SELECT * FROM ""oa2"" WHERE  data > 381 ORDER BY desc LIMIT 100","570055287258","570055524624","570055800079"
"ua0","oa3","SELECT * FROM ""oa3"" WHERE  data > 104 ORDER BY desc LIMIT 100","570055802781","570056071034","570056364844"
"ua0","oa4","SELECT * FROM ""oa4"" WHERE  data > 456 ORDER BY desc LIMIT 100","570056367632","570056605448","570056880245"
"ua0","oa5","SELECT * FROM ""oa5"" WHERE  data > 43 ORDER BY desc LIMIT 100","570056882788","570057119624","570057393674"
"ua0","oa6","SELECT * FROM ""oa6"" WHERE  data > 23 ORDER BY desc LIMIT 100","570057396367","570057633747","570057908061"
"ua0","oa7","SELECT * FROM ""oa7"" WHERE  data > 407 ORDER BY desc LIMIT 100","570057910555","570058147973","570058420562"
"ua0","oa8","SELECT * FROM ""oa8"" WHERE  data > 57 ORDER BY desc LIMIT 100","570058423291","570058660218","570058933726"
"ua0","oa9","SELECT * FROM ""oa9"" WHERE  data > 308 ORDER BY desc LIMIT 100","570058936367","570059173763","570059447226"
"ua1","oa1","SELECT * FROM ""oa1"" WHERE  data > 286 ORDER BY desc LIMIT 100","570059449963","570059688209","570059963035"
"ua1","oa2","SELECT * FROM ""oa2"" WHERE  data > 430 ORDER BY desc LIMIT 100","570059965594","570060211611","570060486202"
"ua1","oa3","SELECT * FROM ""oa3"" WHERE  data > 498 ORDER BY desc LIMIT 100","570060488985","570060728034","570060999198"
"ua1","oa4","SELECT * FROM ""oa4"" WHERE  data > 306 ORDER BY desc LIMIT 100","570061001876","570061239924","570061510308"
"ua1","oa5","SELECT * FROM ""oa5"" WHERE  data > 114 ORDER BY desc LIMIT 100","570061512947","570061751040","570062023641"
"ua1","oa6","SELECT * FROM ""oa6"" WHERE  data > 260 ORDER BY desc LIMIT 100","570062026262","570062265607","570062536858"
"ua1","oa7","SELECT * FROM ""oa7"" WHERE  data > 21 ORDER BY desc LIMIT 100","570062539423","570062777629","570063048655"
"ua1","oa8","SELECT * FROM ""oa8"" WHERE  data > 2 ORDER BY desc LIMIT 100","570063051262","570063289581","570063561089"
"ua1","oa9","SELECT * FROM ""oa9"" WHERE  data > 94 ORDER BY desc LIMIT 100","570063563663","570063802566","570064086133"
"ua1","oa10","SELECT * FROM ""oa10"" WHERE  data > 423 ORDER BY desc LIMIT 100","570064088918","570064327991","570064600205"
"ua2","oa2","SELECT * FROM ""oa2"" WHERE  data > 322 ORDER BY desc LIMIT 100","570064603126","570064843240","570065115068"
"ua2","oa3","SELECT * FROM ""oa3"" WHERE  data > 472 ORDER BY desc LIMIT 100","570065117739","570065356242","570065627977"
"ua2","oa4","SELECT * FROM ""oa4"" WHERE  data > 47 ORDER BY desc LIMIT 100","570065630582","570065869702","570066141278"
"ua2","oa5","SELECT * FROM ""oa5"" WHERE  data > 175 ORDER BY desc LIMIT 100","570066143790","570066384015","570066655725"
"ua2","oa6","SELECT * FROM ""oa6"" WHERE  data > 135 ORDER BY desc LIMIT 100","570066658320","570066896856","570067168512"
"ua2","oa7","SELECT * FROM ""oa7"" WHERE  data > 253 ORDER BY desc LIMIT 100","570067171044","570067408301","570067678701"
"ua2","oa8","SELECT * FROM ""oa8"" WHERE  data > 423 ORDER BY desc LIMIT 100","570067681228","570067919660","570068199391"
"ua2","oa9","SELECT * FROM ""oa9"" WHERE  data > 344 ORDER BY desc LIMIT 100","570068204799","570068440863","570068714087"
"ua2","oa10","SELECT * FROM ""oa10"" WHERE  data > 492 ORDER BY desc LIMIT 100","570068716873","570068954375","570069228315"
"ua2","oa11","SELECT * FROM ""oa11"" WHERE  data > 166 ORDER BY desc LIMIT 100","570069231009","570069487496","570069761765"
"ua3","oa3","SELECT * FROM ""oa3"" WHERE  data > 456 ORDER BY desc LIMIT 100","570069764546","570070002468","570070277137"
"ua3","oa4","SELECT * FROM ""oa4"" WHERE  data > 233 ORDER BY desc LIMIT 100","570070279844","570070516322","570070789619"
"ua3","oa5","SELECT * FROM ""oa5"" WHERE  data > 330 ORDER BY desc LIMIT 100","570070792162","570071028212","570071301365"
"ua3","oa6","SELECT * FROM ""oa6"" WHERE  data > 171 ORDER BY desc LIMIT 100","570071303881","570071540586","570071813604"
"ua3","oa7","SELECT * FROM ""oa7"" WHERE  data > 378 ORDER BY desc LIMIT 100","570071816098","570072062498","570072338386"
"ua3","oa8","SELECT * FROM ""oa8"" WHERE  data > 85 ORDER BY desc LIMIT 100","570072341206","570072578492","570072852065"
"ua3","oa9","SELECT * FROM ""oa9"" WHERE  data > 148 ORDER BY desc LIMIT 100","570072854615","570073091713","570073366129"
"ua3","oa10","SELECT * FROM ""oa10"" WHERE  data > 335 ORDER BY desc LIMIT 100","570073368677","570073605590","570073881226"
"ua3","oa11","SELECT * FROM ""oa11"" WHERE  data > 36 ORDER BY desc LIMIT 100","570073883953","570074120583","570074393531"
"ua3","oa12","SELECT * FROM ""oa12"" WHERE  data > 13 ORDER BY desc LIMIT 100","570074396192","570074632680","570074906086"
"ua4","oa4","SELECT * FROM ""oa4"" WHERE  data > 118 ORDER BY desc LIMIT 100","570074908744","570075146611","570075419963"
"ua4","oa5","SELECT * FROM ""oa5"" WHERE  data > 92 ORDER BY desc LIMIT 100","570075422566","570075660019","570075934054"
"ua4","oa6","SELECT * FROM ""oa6"" WHERE  data > 127 ORDER BY desc LIMIT 100","570075936589","570076178634","570076452639"
